Handle,Title,Body (HTML),Vendor,Standardized Product Type,Custom Product Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Print Placement,Cost per item,Status
kaseem Hoodie 1,,Merch By MerchBooth,,,,,,,S,,,,,kstephTOP-1-4-S,544.311,shopify,continue,axelrad,45,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,oz,,,25,active
kaseem Hoodie 1,,Merch By MerchBooth,,,,,,,M,,,,,kstephTOP-1-4-M,544.311,shopify,continue,axelrad,45,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,oz,,,25,active
kaseem Hoodie 1,,Merch By MerchBooth,,,,,,,L,,,,,kstephTOP-1-4-L,544.311,shopify,continue,axelrad,45,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,oz,,,25,active
kaseem Hoodie 1,,Merch By MerchBooth,,,,,,,XL,,,,,kstephTOP-1-4-XL,544.311,shopify,continue,axelrad,45,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,oz,,,25,active
kaseem Hoodie 1,,Merch By MerchBooth,,,,,,,XXL,,,,,kstephTOP-1-4-XXL,544.311,shopify,continue,axelrad,45,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,oz,,,27,active
kaseem Zip Up Hoodie 1,kaseem - one - Black Zip Up Hoodie,Merch By MerchBooth,kaseem,,Shirts & Tops,"AxelRad, DTG, Zip-Up",TRUE,Size,XS,,,,,kstephTOP-1-5-XS,544.311,shopify,continue,axelrad,55,,TRUE,TRUE,,REPLACE,1,,FALSE,,,,,,,,,,,,,,,,,oz,,Black Zip Hoodie 2 Placements,35,active
kaseem Zip Up Hoodie 1,,Merch By MerchBooth,,,,,,,S,,,,,kstephTOP-1-5-S,544.311,shopify,continue,axelrad,55,,TRUE,TRUE,,REPLACE,,,,,,,,,,,,,,,,,,,,oz,,,35,active
kaseem Zip Up Hoodie 1,,Merch By MerchBooth,,,,,,,M,,,,,kstephTOP-1-5-M,544.311,shopify,continue,axelrad,55,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,oz,,,35,active
kaseem Zip Up Hoodie 1,,Merch By MerchBooth,,,,,,,L,,,,,kstephTOP-1-5-L,544.311,shopify,continue,axelrad,55,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,oz,,,35,active
kaseem Zip Up Hoodie 1,,Merch By MerchBooth,,,,,,,XL,,,,,kstephTOP-1-5-XL,544.311,shopify,continue,axelrad,55,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,oz,,,35,active
kaseem Zip Up Hoodie 1,,Merch By MerchBooth,,,,,,,XXL,,,,,kstephTOP-1-5-XXL,544.311,shopify,continue,axelrad,55,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,oz,,,37,active
kaseem T-Shirt 2,kaseem - one - White T Shirt,Merch By MerchBooth,kaseem,,Shirts & Tops,"AxelRad, DTG, T-Shirt",TRUE,Size,XS,,,,,kstephTOP-2-1-XS,226.796,shopify,continue,axelrad,30,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0634/8757/4245/files/DRATOP-2-1-F_mockup.png?v=1680020833,1,,FALSE,,,,,,,,,,,,,,,,,oz,,White T-Shirt 1 placement,10,active
